대상연월,요일,time,출발 행정동 코드,도착 행정동 코드,성별,이동인구(합),adm_nm_x,start_point,adm_nm_y,end_point,normalized_이동인구
202204,토,점심,1114066,1114066,F,26995.63,서울특별시 마포구 서교동,"[126.92056224341965, 37.554231410096335]",서울특별시 마포구 서교동,"[126.92056224341965, 37.554231410096335]",1.0
202204,토,점심,1119054,1119054,F,26157.28,서울특별시 영등포구 여의동,"[126.92512005925903, 37.52669811644704]",서울특별시 영등포구 여의동,"[126.92512005925903, 37.52669811644704]",0.9689449736864818
202204,토,점심,1124080,1124080,F,20204.09,서울특별시 송파구 잠실3동,"[127.09256436999024, 37.511453694541444]",서울특별시 송파구 잠실3동,"[127.09256436999024, 37.511453694541444]",0.748420762916072
202204,토,점심,1123064,1123064,F,14353.4,서울특별시 강남구 역삼1동,"[127.04126078797715, 37.5039870859614]",서울특별시 강남구 역삼1동,"[127.04126078797715, 37.5039870859614]",0.5316934629790081
202204,토,점심,1113075,1113075,F,12720.58,서울특별시 서대문구 신촌동,"[126.94126973134767, 37.56713216116725]",서울특별시 서대문구 신촌동,"[126.94126973134767, 37.56713216116725]",0.47120885861896905
202204,토,점심,1101061,1101061,F,12218.04,서울특별시 종로구 종로1·2·3·4가동,"[126.99095460165246, 37.575603142178714]",서울특별시 종로구 종로1·2·3·4가동,"[126.99095460165246, 37.575603142178714]",0.4525932530561428
202204,토,점심,1123077,1123077,F,9458.21,서울특별시 강남구 압구정동,"[127.03314668642571, 37.52783236839773]",서울특별시 강남구 압구정동,"[127.03314668642571, 37.52783236839773]",0.35036078061523285
202204,토,점심,1124077,1124077,F,8761.79,서울특별시 송파구 잠실6동,"[127.09932914555756, 37.51855996471403]",서울특별시 송파구 잠실6동,"[127.09932914555756, 37.51855996471403]",0.3245632719073421
202204,토,점심,1103073,1103073,F,8530.37,서울특별시 용산구 한강로동,"[126.96570686386953, 37.52976173036216]",서울특별시 용산구 한강로동,"[126.96570686386953, 37.52976173036216]",0.3159907733214598
202204,토,점심,1119074,1119074,F,7887.88,서울특별시 영등포구 영등포동,"[126.90649846911558, 37.52267695422319]",서울특별시 영등포구 영등포동,"[126.90649846911558, 37.52267695422319]",0.29219099535739673
202204,토,점심,1123051,1123051,F,7831.14,서울특별시 강남구 신사동,"[127.02261228179378, 37.52608291359223]",서울특별시 강남구 신사동,"[127.02261228179378, 37.52608291359223]",0.29008917369218645
202204,토,점심,1123058,1123058,F,7825.79,서울특별시 강남구 삼성1동,"[127.05928361883572, 37.516707116019525]",서울특별시 강남구 삼성1동,"[127.05928361883572, 37.516707116019525]",0.2898909934682021
202204,토,점심,1102055,1102055,F,6366.03,서울특별시 중구 명동,"[126.98435562251788, 37.56224364740497]",서울특별시 중구 명동,"[126.98435562251788, 37.56224364740497]",0.23581705631615188
